id,date,value
AR,2021-02-27,622665
AR,2021-02-28,649311
AR,2021-03-01,661572
AR,2021-03-02,670815
AR,2021-03-03,687433
AR,2021-03-04,704368
AR,2021-03-05,723756
AR,2021-03-06,744139
AR,2021-03-07,765260
AR,2021-03-08,773357
AR,2021-03-09,782750
AR,2021-03-10,799184
AR,2021-03-11,800091
AR,2021-03-12,836608
AR,2021-03-13,882630
AR,2021-03-15,892588
AR,2021-03-16,897059
AR,2021-03-17,912660
AR,2021-03-18,929862
AR,2021-03-19,952919
AR,2021-03-20,974973
AR,2021-03-21,999488
AR,2021-03-22,1008575
AR,2021-03-23,1012415
AS,2020-12-30,869
AS,2021-01-02,1022
AS,2021-01-07,1161
AS,2021-01-08,1331
AS,2021-01-11,2054
AS,2021-01-12,2124
AS,2021-01-13,2577
AS,2021-01-14,2971
AS,2021-01-15,3883
AS,2021-01-20,5313
AS,2021-01-21,5664
AS,2021-01-22,6569
AS,2021-01-23,6831
AS,2021-01-24,8046
AS,2021-01-26,8315
AS,2021-01-27,9085
AS,2021-01-29,9925
AS,2021-02-01,10761
AS,2021-02-03,11066
AS,2021-02-04,11257
AS,2021-02-05,12029
AS,2021-02-06,12259
AS,2021-02-09,12680
AS,2021-02-10,13318
AS,2021-02-11,13513
AS,2021-02-12,15032
AS,2021-02-13,15382
AS,2021-02-16,16109
AS,2021-02-17,16269
AS,2021-02-20,17740
AS,2021-02-21,18778
AS,2021-02-22,18816
AS,2021-02-24,19739
AS,2021-02-26,20336
AS,2021-02-27,20338
AS,2021-03-02,21079
AS,2021-03-04,21625
AS,2021-03-10,23696
AS,2021-03-15,24300
AS,2021-03-22,27015
AS,2021-03-23,27263
AZ,2020-12-24,12338
AZ,2020-12-26,18506
AZ,2020-12-27,23648
AZ,2020-12-28,24620
AZ,2020-12-29,29536
AZ,2020-12-30,45803
AZ,2020-12-31,80060
AZ,2021-01-05,101030
AZ,2021-01-06,119653
AZ,2021-01-08,126090
AZ,2021-01-09,139068
AZ,2021-01-10,148292
AZ,2021-01-11,151844
AZ,2021-01-12,165531
AZ,2021-01-13,188740
AZ,2021-01-14,217716
AZ,2021-01-15,232125
AZ,2021-01-16,263625
AZ,2021-01-17,270718
AZ,2021-01-18,281270
