id,population,name,dosesAdministered,peopleVaccinated,completedVaccination,boosterDosesAdministered
KGZ,6389000,Kyrgyzstan,2021768,1120234,895200,
KHM,16494000,Cambodia,28716448,14145606,13351514,2272479
KNA,57000,Saint Kitts and Nevis,52386,27511,24875,
KOR,51709000,South Korea,85349216,42567865,41061655,3219138
KWT,4750000,Kuwait,6578646,3304574,3165385,108687
LAO,7163000,Laos,5830021,3744740,3099003,
LBN,6856000,Lebanon,3936887,2055249,1881638,
LBR,4578000,Liberia,589628,494052,456623,
LBY,6578000,Libya,2335862,1683548,652314,
LCA,180000,St. Lucia,101930,54362,47631,
LKA,21803000,Sri Lanka,29682085,15929547,13745161,
LSO,2048000,Lesotho,617671,581857,572287,
LTU,2783000,Lithuania,3702243,1870014,1781879,301943
LUX,614000,Luxembourg,917455,454957,429705,69045
LVA,1920000,Latvia,2197492,1275238,1189847,
MAC,680000,Macau,918971,484255,435527,
MAR,35587000,Morocco,48782427,24507912,24274515,
MCO,39000,Monaco,49980,26672,23308,
MDA,2682000,Moldova,1625371,963534,937115,
MDG,26889000,Madagascar,685440,532674,484570,
MDV,372000,Maldives,772056,395781,364082,12193
MEX,127576000,Mexico,132636811,76845255,65038728,
MKD,2079000,North Macedonia,1675793,885888,789905,63137
MLI,19095000,Mali,847067,708943,320681,
MLT,494000,Malta,959906,435713,432253,120528
MMR,52832000,Myanmar,25869175,15390873,10478302,
MNE,623000,Montenegro,531669,274494,255785,
MNG,3297000,Mongolia,4959860,2260178,2150479,
MOZ,31157000,Mozambique,10145909,6422216,3723693,
MRT,4058000,Mauritania,1734046,1060233,673813,
MSR,5000,Montserrat,2949,1531,1424,
MUS,1267000,Mauritius,1875132,916524,914936,
MWI,20289000,Malawi,1414752,1139688,601650,
MYS,32581000,Malaysia,53517981,25825470,25386777,2415248
NAM,2459000,Namibia,649840,355254,294586,
NER,23311000,Niger,971636,507223,464413,
NGA,200964000,Nigeria,9846182,6329967,3516215,
NIC,6528000,Nicaragua,6033123,3842428,2190695,
NLD,17231000,Netherlands,24636432,13220692,12663364,
NOR,5357000,Norway,8630168,4239290,3826882,563996
NPL,28455000,Nepal,17196377,9206187,7990190,
NRU,13000,Nauru,14863,7612,7251,
NZL,4925000,New Zealand,7579500,3888804,3604193,
OMN,4194000,Oman,5934585,3310409,2828176,
PAK,204729000,Pakistan,123032063,80284860,50184100,
PAN,4219000,Panama,5985389,3087258,2898131,181061
PER,33162000,Peru,41343654,22271099,18260413,639041
PHL,107290000,Philippines,86421420,44524081,36365357,313836
PNG,8601000,Papua New Guinea,467166,269366,197800,
POL,37973000,Poland,41844749,20829997,20418316,2836221
PRT,10276000,Portugal,16339507,9075772,8925907,
PRY,7153000,Paraguay,6060065,3344594,2715471,103206
QAT,2795000,Qatar,4989421,2360308,2218292,
ROU,19405000,Romania,14952118,7657261,7415357,
RUS,146749000,Russia,128208915,66738623,56681192,4422166
RWA,12400000,Rwanda,8748557,5814385,3004325,
SAU,34082000,Saudi Arabia,47449878,24619259,22467509,
SDN,43222000,Sudan,2698219,2271624,581846,
SEN,16308000,Senegal,1910830,1321923,924182,
SGP,5704000,Singapore,10083329,5071148,5012181,
SHN,6000,St. Helena,7892,4361,3531,
SLB,641000,Solomon Islands,208046,161521,46525,
SLE,7815000,Sierra Leone,868726,703231,361089,
SLV,6454000,El Salvador,9179875,4428668,4059302,691905
SMR,34000,San Marino,51556,25433,24438,
SOM,15046000,Somalia,1139332,678588,564612,
SRB,6964000,Serbia,7877441,3261104,3118088,1498240
SSD,13378000,South Sudan,218154,185148,133315,
STP,213000,Sao Tome and Principe,121357,83283,38074,
SUR,597000,Suriname,483930,257438,219012,
SVK,5450000,Slovakia,5240923,2637787,2345451,
SVN,2068000,Slovenia,2677280,1231214,1149788,296278
SWE,10328000,Sweden,15894823,7589482,7146405,
SWZ,1115000,Eswatini,306445,271668,260763,
SXM,42000,Sint Maarten,51697,26873,24824,
SYC,96000,Seychelles,179462,81937,77951,
SYR,,Syria,1422377,890837,739210,
TCA,38000,Turks & Caicos,56343,29210,27133,
TCD,15947000,Chad,258618,185794,72824,
TGO,8084000,Togo,1665087,1097253,567834,
THA,69626000,Thailand,93231463,47963180,41053644,3343593
TJK,9292000,Tajikistan,5291837,2880326,2411511,
TKM,5856000,Turkmenistan,7580976,4374694,3206282,
TLS,1293000,Timor-Leste,1068010,636271,431739,
TON,100000,Tonga,118185,73183,45002,
TTO,1395000,Trinidad and Tobago,1288817,686089,643682,
TUN,11783000,Tunisia,11393466,7141076,5156641,425004
TUR,83155000,Turkey,120516813,56261687,50458355,13670609
TWN,23603000,Taiwan,31546833,18246772,13300061,
TZA,56322000,Tanzania,1337045,885579,965778,
UGA,39823000,Uganda,4835777,3838439,912983,
UKR,41733000,Ukraine,24958629,13468633,11299807,
URY,3519000,Uruguay,6795701,2750891,2656799,1382464
USA,331996000,U.S.,460773508,233207582,197058988,41054270
UVK,1800000,Kosovo,1615360,853765,761595,
UZB,33256000,Uzbekistan,33672515,17487499,5882086,
VCT,110000,St. Vincent and the Grenadines,54462,31057,22634,
VEN,27817000,Venezuela,26314390,16415684,9858581,
VNM,96462000,Vietnam,122083464,71143392,50940072,
WSM,201000,Samoa,248729,139865,108864,
YEM,31648000,Yemen,774953,548933,361351,
ZAF,58775000,South Africa,25782259,17260202,14475754,
ZMB,18321000,Zambia,1086607,806611,691735,
ZWE,14905000,Zimbabwe,6611942,3795401,2816541,
