id,date,value
CAN-NU,2021-03-15,16318
CAN-NU,2021-03-16,16873
CAN-NU,2021-03-17,17442
CAN-NU,2021-03-18,17811
CAN-NU,2021-03-19,17997
CAN-NU,2021-03-22,18327
CAN-NU,2021-03-23,18719
CAN-NU,2021-03-24,19113
CAN-NU,2021-03-25,19494
CAN-NU,2021-03-26,19669
CAN-NU,2021-03-29,20001
CAN-NU,2021-03-31,20815
CAN-NU,2021-04-01,21012
CAN-NU,2021-04-06,21763
CAN-NU,2021-04-07,22298
CAN-NU,2021-04-09,22865
CAN-NU,2021-04-12,23196
CAN-NU,2021-04-13,23569
CAN-NU,2021-04-14,23892
CAN-NU,2021-04-15,24065
CAN-NU,2021-04-16,24469
CAN-NU,2021-04-19,25188
CAN-NU,2021-04-20,25675
CAN-NU,2021-04-21,26164
CAN-NU,2021-04-22,26572
CAN-NU,2021-04-23,26855
CAN-NU,2021-04-26,27344
CAN-NU,2021-04-28,27813
CAN-NU,2021-04-29,28062
CAN-NU,2021-04-30,28251
CAN-NU,2021-05-03,28584
CAN-NU,2021-05-04,28712
CAN-NU,2021-05-05,28837
CAN-NU,2021-05-06,28963
CAN-NU,2021-05-07,29096
CAN-NU,2021-05-10,29297
CAN-NU,2021-05-11,29402
